Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan,S6 Clan
Daddy T x 2,None,None,None,D,None,None
Chad,B,B,D,D,C,C
BruceLee1976,D,A,A,A,A,A
Gerd-Clash,None,G,G,G,F,E
Bink,A,D,D,D,D,C
Hawk,None,C,None,None,None,None
Edward,B,E,E,E,E,D
Miles...,None,G,G,E,C,None
Rassa,C,D,D,D,D,C
Noonan!,C,C,B,B,B,A
Kyle,B,B,B,B,None,None
Pod,None,G,G,G,F,D
Big Hampton,D,E,E,D,D,C
GC-Russ,G,E,F,F,F,E
Olddog62,E,E,E,E,E,E
Dan C.,E,C,C,C,C,B
MikeDW,None,None,None,None,None,F
Michael,None,None,D,D,None,None
Steve,C,D,D,D,D,C
Ty Webb,C,B,B,B,B,A
Stephen,G,B,A,A,None,None
Overreaction,D,E,F,F,F,E
Free.Rider,G,C,None,None,None,None
Shanker,F,C,C,C,C,B
Bohica,F,B,B,None,None,None
Go Blue TB12,D,C,C,C,C,B
Zemanch,F,E,C,C,C,B
Richard,E,G,G,G,E,D
Zoey,G,D,D,F,D,D
Jim,E,D,D,D,D,C
InDaHole,A,C,C,C,C,C
Tiger Would,0,0,0,0,B,D
OhYeah,C,B,B,B,B,B
Amber,H,E,E,E,E,None
TaylorMade,B,F,F,F,F,F
Kay,None,None,None,None,G,E
Anthony,C,G,G,G,None,None
Mike,B,E,E,F,E,C
Bust'n Balls,D,E,D,D,D,D
Pinky,0,0,0,0,B,F
F. Ouimet,C,A,B,B,A,A
MinH,F,B,B,D,B,C
Clint,D,F,F,F,None,None
Betheball,None,None,G,C,C,None
KC GC,F,C,C,C,B,B
Wurx,None,None,None,None,G,None
Foot Wedge $,D,E,C,C,C,C
Kevin,A,A,A,A,A,A
Velcro Balls,None,None,None,B,B,A
GolfPlumber,G,D,D,None,None,None
#GoBlue,B,E,E,E,E,D
Dregoboss,E,E,E,E,E,None
Neal2,None,None,E,None,None,None
Albi Seeker,E,G,G,G,F,F
Hank,None,None,None,None,None,F
Chrissy,D,G,G,G,F,E
Nikki,None,None,None,None,B,A
Karl,None,G,None,None,None,None
Dave,E,G,G,G,F,F
Mini-me,None,None,F,F,C,A
Jake,A,D,C,G,D,D
D.J,G,E,E,None,None,None
Lateralus,0,0,0,0,0,F
Bobby,A,A,A,A,A,WPU
King,A,A,None,None,None,None
Jethro,G,D,D,D,D,C
Smiles,A,D,E,C,C,B
BlackCaesar,B,F,F,F,F,E
Joseph,F,D,C,F,C,B
Bernadette,F,C,G,D,D,B
LaffertyDan,G,F,E,B,F,C
#coachp,G,D,C,A,A,A
Michael,B,E,E,D,None,None
Rob,None,None,G,G,None,None
Forrest,C,D,E,E,E,D
DP,B,B,B,B,B,B
BallCrusher,E,D,D,D,D,None
Joe,B,D,D,D,D,C
Juan Centavo,B,C,C,F,None,None
GC Robert,A,C,C,None,None,None
Tara Holenme,None,None,None,None,None,WPU
KatBClashin,C,G,B,B,B,B
Poppy,A,A,A,None,None,None
Craig,C,C,C,C,C,B
Tom,None,None,None,None,None,E
Jay,A,B,B,B,B,B
Scott,None,G,C,C,None,None
Keyser Soze,G,G,C,C,C,C
Ghost Pepper,C,D,D,None,None,None
Poppa Mupp,G,F,D,C,C,C
Teddy,B,D,D,D,D,D
Duffer,H,G,G,G,F,E
Luckyshot,H,A,A,A,A,WPU
Crash-n-Burn,B,A,C,C,B,A
Derrick,C,A,B,B,None,None
RV,None,None,B,B,B,A
