Name,S1 Points,S2 Points,S3 Points,S4 Points,S5 Points,S6 Points
Kyle,2460.0,2300.0,1760.0,710.0,0.0,0.0
Pod,0.0,604.0,246.0,449.0,984.0,775.0
Big Hampton,805.0,1200.0,1300.0,1160.0,689.0,320.0
GC-Russ,651.0,273.0,657.0,352.0,281.0,1110.0
Olddog62,645.0,835.0,806.0,645.0,520.0,625.0
Dan C.,1750.0,1230.0,2800.0,1730.0,1330.0,1970.0
MikeDW,0.0,0.0,0.0,0.0,0.0,266.0
Michael,0.0,0.0,1340.0,787.0,0.0,0.0
Steve,1100.0,788.0,1680.0,1100.0,612.0,1530.0
Ty Webb,2880.0,2440.0,3290.0,3080.0,3120.0,1980.0
Stephen,2930.0,6090.0,4840.0,5150.0,0.0,0.0
Overreaction,714.0,433.0,223.0,405.0,354.0,420.0
Free.Rider,1570.0,2680.0,0.0,0.0,0.0,0.0
Shanker,1390.0,1560.0,1270.0,1970.0,1790.0,2550.0
Bohica,1880.0,2040.0,180.0,0.0,0.0,0.0
Go Blue TB12,1830.0,1460.0,2760.0,1460.0,742.0,1910.0
Zemanch,851.0,2570.0,1480.0,308.0,1670.0,620.0
Richard,247.0,533.0,251.0,1850.0,320.0,1081.0
Zoey,1300.0,971.0,395.0,1070.0,667.0,2079.0
Jim,1070.0,1160.0,1010.0,860.0,1030.0,1650.0
InDaHole,1740.0,1050.0,1080.0,1520.0,795.0,1180.0
Tiger Would,0.0,0.0,0.0,0.0,964.0,1557.0
OhYeah,1900.0,2180.0,2040.0,1670.0,1470.0,1490.0
Amber,100.0,1700.0,656.0,2270.0,0.0,0.0
TaylorMade,352.0,176.0,304.0,413.0,16.0,237.0
Kay,0.0,0.0,0.0,0.0,592.0,922.0
Anthony,221.0,270.0,0.0,0.0,0.0,0.0
Mike,746.0,832.0,456.0,1080.0,1690.0,1630.0
Bust'n Balls,605.0,1500.0,1400.0,16.0,223.0,0.0
Pinky,0.0,0.0,0.0,0.0,231.0,588.0
F. Ouimet,3220.0,3430.0,1850.0,4810.0,4630.0,5960.0
MinH,2660.0,2130.0,1570.0,558.0,560.0,1530.0
Clint,519.0,780.0,340.0,0.0,0.0,0.0
Betheball,0.0,0.0,2100.0,1410.0,0.0,0.0
KC GC,1420.0,2460.0,1900.0,3030.0,2400.0,1240.0
Wurx,0.0,0.0,0.0,0.0,1000.0,0.0
Foot Wedge $,885.0,2720.0,2740.0,2850.0,2090.0,3360.0
Kevin,3330.0,6710.0,6850.0,5140.0,3490.0,5320.0
Velcro Balls,0.0,0.0,3570.0,3380.0,1130.0,3810.0
GolfPlumber,1000.0,693.0,500.0,0.0,0.0,0.0
#GoBlue,746.0,1110.0,1070.0,536.0,272.0,1151.0
Dregoboss,790.0,735.0,875.0,609.0,0.0,0.0
Neal2,0.0,0.0,130.0,0.0,0.0,0.0
Albi Seeker,32.0,435.0,65.0,303.0,248.0,331.0
Hank,0.0,0.0,0.0,0.0,0.0,1290.0
Chrissy,115.0,508.0,222.0,351.0,300.0,151.0
Nikki,0.0,0.0,0.0,1950.0,2770.0,3180.0
Karl,0.0,2670.0,0.0,0.0,0.0,0.0
Dave,194.0,296.0,342.0,250.0,98.0,34.0
Mini-me,0.0,0.0,3150.0,3800.0,6230.0,6820.0
Jake,1240.0,2110.0,128.0,749.0,581.0,1391.0
D.J,690.0,514.0,1610.0,0.0,0.0,0.0
Lateralus,0.0,0.0,0.0,0.0,0.0,363.0
Bobby,4420.0,3440.0,3610.0,1450.0,7940.0,0.0
King,3180.0,4050.0,0.0,0.0,0.0,0.0
Jethro,1280.0,1470.0,710.0,772.0,1850.0,2020.0
Smiles,1360.0,522.0,2050.0,1540.0,1270.0,2370.0
BlackCaesar,489.0,365.0,556.0,550.0,717.0,653.0
Joseph,1190.0,2320.0,368.0,1830.0,1200.0,743.0
Bernadette,1450.0,1460.0,1220.0,1820.0,1770.0,5040.0
LaffertyDan,300.0,818.0,3380.0,516.0,1240.0,1180.0
#coachp,1290.0,2400.0,4300.0,4620.0,5250.0,7240.0
Michael,814.0,1080.0,1600.0,1360.0,0.0,0.0
Rob,0.0,0.0,244.0,411.0,0.0,0.0
Forrest,1040.0,519.0,691.0,985.0,708.0,1041.0
DP,1800.0,1890.0,1200.0,2820.0,1050.0,915.0
BallCrusher,1090.0,1650.0,712.0,594.0,958.0,0.0
Joe,1070.0,971.0,1420.0,973.0,756.0,660.0
Juan Centavo,1470.0,1360.0,272.0,935.0,0.0,0.0
